[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   29.85000      # minimum value of y-mesh points
     ymax =   30.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =    1            # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           2.98500E+01  3.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =   80            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-z-water-300.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   2.9850E+01  -   3.0150E+01  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   3.1573E-16  0.1480
  -4.8750E+00  -4.7500E+00   2.1465E-16  0.1608
  -4.7500E+00  -4.6250E+00   2.2166E-16  0.1695
  -4.6250E+00  -4.5000E+00   4.2969E-16  0.1137
  -4.5000E+00  -4.3750E+00   3.5344E-16  0.0770
  -4.3750E+00  -4.2500E+00   3.7630E-16  0.0850
  -4.2500E+00  -4.1250E+00   2.1225E-15  0.8410
  -4.1250E+00  -4.0000E+00   3.9319E-16  0.1512
  -4.0000E+00  -3.8750E+00   3.7322E-16  0.1350
  -3.8750E+00  -3.7500E+00   3.9189E-16  0.1462
  -3.7500E+00  -3.6250E+00   3.9715E-16  0.1318
  -3.6250E+00  -3.5000E+00   3.1620E-16  0.1412
  -3.5000E+00  -3.3750E+00   3.2328E-16  0.1481
  -3.3750E+00  -3.2500E+00   4.9360E-16  0.2275
  -3.2500E+00  -3.1250E+00   4.2644E-16  0.1746
  -3.1250E+00  -3.0000E+00   5.0812E-16  0.0983
  -3.0000E+00  -2.8750E+00   5.4810E-16  0.1214
  -2.8750E+00  -2.7500E+00   5.5696E-16  0.0617
  -2.7500E+00  -2.6250E+00   7.1816E-16  0.0908
  -2.6250E+00  -2.5000E+00   6.8750E-16  0.1222
  -2.5000E+00  -2.3750E+00   6.8914E-16  0.1109
  -2.3750E+00  -2.2500E+00   7.6802E-16  0.0838
  -2.2500E+00  -2.1250E+00   1.0457E-15  0.1278
  -2.1250E+00  -2.0000E+00   1.1980E-15  0.1577
  -2.0000E+00  -1.8750E+00   1.1045E-15  0.0577
  -1.8750E+00  -1.7500E+00   1.3127E-15  0.0645
  -1.7500E+00  -1.6250E+00   1.6371E-15  0.0787
  -1.6250E+00  -1.5000E+00   2.2252E-15  0.0481
  -1.5000E+00  -1.3750E+00   3.2757E-15  0.0491
  -1.3750E+00  -1.2500E+00   5.3559E-15  0.0417
  -1.2500E+00  -1.1250E+00   1.0552E-14  0.0429
  -1.1250E+00  -1.0000E+00   1.8647E-14  0.0347
  -1.0000E+00  -8.7500E-01   2.7050E-14  0.0127
  -8.7500E-01  -7.5000E-01   3.6580E-14  0.0157
  -7.5000E-01  -6.2500E-01   4.4193E-14  0.0115
  -6.2500E-01  -5.0000E-01   4.9713E-14  0.0064
  -5.0000E-01  -3.7500E-01   5.4698E-14  0.0280
  -3.7500E-01  -2.5000E-01   5.4659E-14  0.0184
  -2.5000E-01  -1.2500E-01   5.5243E-14  0.0105
  -1.2500E-01   0.0000E+00   5.4314E-14  0.0120
   0.0000E+00   1.2500E-01   5.4815E-14  0.0074
   1.2500E-01   2.5000E-01   5.4822E-14  0.0195
   2.5000E-01   3.7500E-01   5.3864E-14  0.0152
   3.7500E-01   5.0000E-01   5.3157E-14  0.0157
   5.0000E-01   6.2500E-01   5.0315E-14  0.0144
   6.2500E-01   7.5000E-01   4.3388E-14  0.0161
   7.5000E-01   8.7500E-01   3.5946E-14  0.0120
   8.7500E-01   1.0000E+00   2.8911E-14  0.0586
   1.0000E+00   1.1250E+00   1.8137E-14  0.0231
   1.1250E+00   1.2500E+00   1.0464E-14  0.0353
   1.2500E+00   1.3750E+00   5.6650E-15  0.0420
   1.3750E+00   1.5000E+00   3.6374E-15  0.0301
   1.5000E+00   1.6250E+00   2.4697E-15  0.0804
