[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   4.850000      # minimum value of y-mesh points
     ymax =   5.150000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           4.85000E+00  5.15000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =     80          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-50.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   4.8500E+00  -   5.1500E+00  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   2.3433E-15  0.0633
  -4.8750E+00  -4.7500E+00   2.4238E-15  0.1106
  -4.7500E+00  -4.6250E+00   2.7761E-15  0.0436
  -4.6250E+00  -4.5000E+00   3.0329E-15  0.0421
  -4.5000E+00  -4.3750E+00   2.6964E-15  0.0622
  -4.3750E+00  -4.2500E+00   2.7416E-15  0.0573
  -4.2500E+00  -4.1250E+00   3.0341E-15  0.0739
  -4.1250E+00  -4.0000E+00   3.4450E-15  0.0818
  -4.0000E+00  -3.8750E+00   4.1128E-15  0.0748
  -3.8750E+00  -3.7500E+00   4.0736E-15  0.0616
  -3.7500E+00  -3.6250E+00   4.6406E-15  0.0669
  -3.6250E+00  -3.5000E+00   4.3990E-15  0.0360
  -3.5000E+00  -3.3750E+00   4.6475E-15  0.0657
  -3.3750E+00  -3.2500E+00   5.0311E-15  0.0605
  -3.2500E+00  -3.1250E+00   5.9762E-15  0.0591
  -3.1250E+00  -3.0000E+00   6.5534E-15  0.0538
  -3.0000E+00  -2.8750E+00   7.0598E-15  0.0634
  -2.8750E+00  -2.7500E+00   8.1062E-15  0.0328
  -2.7500E+00  -2.6250E+00   8.2302E-15  0.0677
  -2.6250E+00  -2.5000E+00   9.7134E-15  0.0186
  -2.5000E+00  -2.3750E+00   1.0530E-14  0.0360
  -2.3750E+00  -2.2500E+00   1.2606E-14  0.0379
  -2.2500E+00  -2.1250E+00   1.3763E-14  0.0289
  -2.1250E+00  -2.0000E+00   1.6861E-14  0.0184
  -2.0000E+00  -1.8750E+00   2.0323E-14  0.0306
  -1.8750E+00  -1.7500E+00   2.5411E-14  0.0368
  -1.7500E+00  -1.6250E+00   3.5562E-14  0.0315
  -1.6250E+00  -1.5000E+00   5.1977E-14  0.0153
  -1.5000E+00  -1.3750E+00   7.5975E-14  0.0171
  -1.3750E+00  -1.2500E+00   1.3141E-13  0.0147
  -1.2500E+00  -1.1250E+00   2.6687E-13  0.0088
  -1.1250E+00  -1.0000E+00   8.1843E-13  0.0064
  -1.0000E+00  -8.7500E-01   1.0833E-12  0.0052
  -8.7500E-01  -7.5000E-01   1.1745E-12  0.0063
  -7.5000E-01  -6.2500E-01   1.2073E-12  0.0050
  -6.2500E-01  -5.0000E-01   1.2369E-12  0.0044
  -5.0000E-01  -3.7500E-01   1.2542E-12  0.0059
  -3.7500E-01  -2.5000E-01   1.2561E-12  0.0039
  -2.5000E-01  -1.2500E-01   1.2619E-12  0.0061
  -1.2500E-01   0.0000E+00   1.2582E-12  0.0048
   0.0000E+00   1.2500E-01   1.2622E-12  0.0049
   1.2500E-01   2.5000E-01   1.2726E-12  0.0055
   2.5000E-01   3.7500E-01   1.2681E-12  0.0068
   3.7500E-01   5.0000E-01   1.2501E-12  0.0032
   5.0000E-01   6.2500E-01   1.2445E-12  0.0044
   6.2500E-01   7.5000E-01   1.2175E-12  0.0065
   7.5000E-01   8.7500E-01   1.1559E-12  0.0054
   8.7500E-01   1.0000E+00   1.0894E-12  0.0049
   1.0000E+00   1.1250E+00   8.1983E-13  0.0076
   1.1250E+00   1.2500E+00   2.6989E-13  0.0139
   1.2500E+00   1.3750E+00   1.3138E-13  0.0146
   1.3750E+00   1.5000E+00   7.9834E-14  0.0164
   1.5000E+00   1.6250E+00   4.9871E-14  0.0151
   1.6250E+00   1.7500E+00   3.7575E-14  0.0200
   1.7500E+00   1.8750E+00   2.6422E-14  0.0360
   1.8750E+00   2.0000E+00   2.0525E-14  0.0329
   2.0000E+00   2.1250E+00   1.6829E-14  0.0394
   2.1250E+00   2.2500E+00   1.4114E-14  0.0396
   2.2500E+00   2.3750E+00   1.2240E-14  0.0251
   2.3750E+00   2.5000E+00   1.0076E-14  0.0460
   2.5000E+00   2.6250E+00   8.8532E-15  0.0373
   2.6250E+00   2.7500E+00   7.7252E-15  0.0545
   2.7500E+00   2.8750E+00   7.4999E-15  0.0412
   2.8750E+00   3.0000E+00   6.7099E-15  0.0630
   3.0000E+00   3.1250E+00   6.5544E-15  0.0742
   3.1250E+00   3.2500E+00   5.8911E-15  0.0461
   3.2500E+00   3.3750E+00   5.3403E-15  0.0442
   3.3750E+00   3.5000E+00   4.3499E-15  0.0280
   3.5000E+00   3.6250E+00   4.0745E-15  0.0664
   3.6250E+00   3.7500E+00   4.5942E-15  0.0706
   3.7500E+00   3.8750E+00   4.0531E-15  0.0627
   3.8750E+00   4.0000E+00   3.5657E-15  0.0444
   4.0000E+00   4.1250E+00   3.3218E-15  0.0527
   4.1250E+00   4.2500E+00   3.4833E-15  0.0504
   4.2500E+00   4.3750E+00   3.1910E-15  0.0443
   4.3750E+00   4.5000E+00   2.8879E-15  0.0761
   4.5000E+00   4.6250E+00   2.4729E-15  0.0801
   4.6250E+00   4.7500E+00   2.7543E-15  0.0630
   4.7500E+00   4.8750E+00   3.0706E-15  0.0456
   4.8750E+00   5.0000E+00   2.3964E-15  0.0873

'no. =  1,  ix =  1,  iy =  1'
msuc: {\huge [t-deposit: icntl=0]}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.08}
wt: s(0.7)
\vspace{-3}
  xmin  &=&  -2.5000E-01 [cm]
  xmax  &=&   2.5000E-01 [cm]
  ymin  &=&   4.8500E+00 [cm]
  ymax  &=&   5.1500E+00 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  1 # 1:Batch variance, 2:History variance
# resc2  = 9.00000000000000000E+00 # Total source weight or Total source weight / maxcas
# resc3  = 9.00000000000000000E+00 # Total history number or Total batch number
# maxcas =    10000000 # History / Batch, only used for istdev=1
# rijklst= 197409415753881.0 # Next initial random number
