[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   19.85000      # minimum value of y-mesh points
     ymax =   20.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =    1            # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.98500E+01  2.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =   80            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-z-water-200.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   1.9850E+01  -   2.0150E+01  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   6.0407E-16  0.1638
  -4.8750E+00  -4.7500E+00   4.5366E-16  0.1710
  -4.7500E+00  -4.6250E+00   5.5247E-16  0.1197
  -4.6250E+00  -4.5000E+00   4.8960E-16  0.0847
  -4.5000E+00  -4.3750E+00   5.8531E-16  0.0959
  -4.3750E+00  -4.2500E+00   5.7287E-16  0.0639
  -4.2500E+00  -4.1250E+00   6.8462E-16  0.1036
  -4.1250E+00  -4.0000E+00   7.0576E-16  0.1265
  -4.0000E+00  -3.8750E+00   7.7294E-16  0.1404
  -3.8750E+00  -3.7500E+00   6.5850E-16  0.0853
  -3.7500E+00  -3.6250E+00   7.1268E-16  0.0946
  -3.6250E+00  -3.5000E+00   8.4090E-16  0.0879
  -3.5000E+00  -3.3750E+00   8.9286E-16  0.0879
  -3.3750E+00  -3.2500E+00   9.4629E-16  0.1301
  -3.2500E+00  -3.1250E+00   9.8626E-16  0.0912
  -3.1250E+00  -3.0000E+00   1.1202E-15  0.0484
  -3.0000E+00  -2.8750E+00   9.9614E-16  0.0806
  -2.8750E+00  -2.7500E+00   1.0870E-15  0.0753
  -2.7500E+00  -2.6250E+00   1.2707E-15  0.0754
  -2.6250E+00  -2.5000E+00   1.1175E-15  0.0649
  -2.5000E+00  -2.3750E+00   1.4760E-15  0.0347
  -2.3750E+00  -2.2500E+00   1.6217E-15  0.0794
  -2.2500E+00  -2.1250E+00   1.6943E-15  0.1015
  -2.1250E+00  -2.0000E+00   1.6853E-15  0.0531
  -2.0000E+00  -1.8750E+00   2.3542E-15  0.0729
  -1.8750E+00  -1.7500E+00   2.8685E-15  0.0703
  -1.7500E+00  -1.6250E+00   3.3810E-15  0.0497
  -1.6250E+00  -1.5000E+00   4.9603E-15  0.0476
  -1.5000E+00  -1.3750E+00   7.2461E-15  0.0255
  -1.3750E+00  -1.2500E+00   1.4067E-14  0.0189
  -1.2500E+00  -1.1250E+00   2.7441E-14  0.0143
  -1.1250E+00  -1.0000E+00   4.0641E-14  0.0125
  -1.0000E+00  -8.7500E-01   5.5659E-14  0.0118
  -8.7500E-01  -7.5000E-01   7.0838E-14  0.0103
  -7.5000E-01  -6.2500E-01   8.3418E-14  0.0117
  -6.2500E-01  -5.0000E-01   9.0578E-14  0.0077
  -5.0000E-01  -3.7500E-01   9.1915E-14  0.0105
  -3.7500E-01  -2.5000E-01   9.0996E-14  0.0093
  -2.5000E-01  -1.2500E-01   8.9666E-14  0.0073
  -1.2500E-01   0.0000E+00   9.2368E-14  0.0119
   0.0000E+00   1.2500E-01   9.3211E-14  0.0088
   1.2500E-01   2.5000E-01   9.1375E-14  0.0109
   2.5000E-01   3.7500E-01   9.0902E-14  0.0097
   3.7500E-01   5.0000E-01   9.0304E-14  0.0087
   5.0000E-01   6.2500E-01   8.9054E-14  0.0088
   6.2500E-01   7.5000E-01   8.2304E-14  0.0080
   7.5000E-01   8.7500E-01   7.1091E-14  0.0103
   8.7500E-01   1.0000E+00   5.6404E-14  0.0075
   1.0000E+00   1.1250E+00   4.0777E-14  0.0153
   1.1250E+00   1.2500E+00   2.6087E-14  0.0198
   1.2500E+00   1.3750E+00   1.4334E-14  0.0254
   1.3750E+00   1.5000E+00   7.4905E-15  0.0435
   1.5000E+00   1.6250E+00   4.7955E-15  0.0391
   1.6250E+00   1.7500E+00   3.6212E-15  0.0530
   1.7500E+00   1.8750E+00   2.7951E-15  0.0362
   1.8750E+00   2.0000E+00   1.9535E-15  0.0529
   2.0000E+00   2.1250E+00   1.9685E-15  0.0389
   2.1250E+00   2.2500E+00   1.6936E-15  0.0521
   2.2500E+00   2.3750E+00   1.5885E-15  0.0748
   2.3750E+00   2.5000E+00   1.2023E-15  0.0737
   2.5000E+00   2.6250E+00   1.2902E-15  0.0609
   2.6250E+00   2.7500E+00   1.3047E-15  0.1179
   2.7500E+00   2.8750E+00   1.2166E-15  0.0649
   2.8750E+00   3.0000E+00   1.1733E-15  0.0768
   3.0000E+00   3.1250E+00   9.6669E-16  0.0725
   3.1250E+00   3.2500E+00   9.5017E-16  0.0778
   3.2500E+00   3.3750E+00   8.4710E-16  0.0861
   3.3750E+00   3.5000E+00   7.7527E-16  0.0919
   3.5000E+00   3.6250E+00   9.0718E-16  0.1030
   3.6250E+00   3.7500E+00   7.9520E-16  0.0762
   3.7500E+00   3.8750E+00   6.2021E-16  0.1215
   3.8750E+00   4.0000E+00   6.0218E-16  0.0971
   4.0000E+00   4.1250E+00   5.1750E-16  0.1196
   4.1250E+00   4.2500E+00   7.7611E-16  0.0923
   4.2500E+00   4.3750E+00   6.7180E-16  0.1479
   4.3750E+00   4.5000E+00   5.9941E-16  0.1012
   4.5000E+00   4.6250E+00   6.6252E-16  0.1164
   4.6250E+00   4.7500E+00   5.7477E-16  0.0918
   4.7500E+00   4.8750E+00   5.7668E-16  0.1237
   4.8750E+00   5.0000E+00   4.8992E-16  0.0936

'no. =  1,  ix =  1,  iy =  1'
msuc: {\huge [t-deposit: icntl=0]}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.02}
wt: s(0.7)
\vspace{-3}
  xmin  &=&  -2.5000E-01 [cm]
  xmax  &=&   2.5000E-01 [cm]
  ymin  &=&   1.9850E+01 [cm]
  ymax  &=&   2.0150E+01 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  1 # 1:Batch variance, 2:History variance
# resc2  = 7.34884522270773459E+01 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+01 # Total history number or Total batch number
# maxcas =     5000000 # History / Batch, only used for istdev=1
# rijklst= 105815716415641.0 # Next initial random number
