[ T-Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -15.00000      # minimum value of x-mesh points
     xmax =   15.00000      # maximum value of x-mesh points
#    xdel =  0.2500000      # mesh width of x-mesh points
       nx =    120          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.50000E+01 -1.47500E+01 -1.45000E+01 -1.42500E+01 -1.40000E+01
#          -1.37500E+01 -1.35000E+01 -1.32500E+01 -1.30000E+01 -1.27500E+01
#          -1.25000E+01 -1.22500E+01 -1.20000E+01 -1.17500E+01 -1.15000E+01
#          -1.12500E+01 -1.10000E+01 -1.07500E+01 -1.05000E+01 -1.02500E+01
#          -1.00000E+01 -9.75000E+00 -9.50000E+00 -9.25000E+00 -9.00000E+00
#          -8.75000E+00 -8.50000E+00 -8.25000E+00 -8.00000E+00 -7.75000E+00
#          -7.50000E+00 -7.25000E+00 -7.00000E+00 -6.75000E+00 -6.50000E+00
#          -6.25000E+00 -6.00000E+00 -5.75000E+00 -5.50000E+00 -5.25000E+00
#          -5.00000E+00 -4.75000E+00 -4.50000E+00 -4.25000E+00 -4.00000E+00
#          -3.75000E+00 -3.50000E+00 -3.25000E+00 -3.00000E+00 -2.75000E+00
#          -2.50000E+00 -2.25000E+00 -2.00000E+00 -1.75000E+00 -1.50000E+00
#          -1.25000E+00 -1.00000E+00 -7.50000E-01 -5.00000E-01 -2.50000E-01
#           0.00000E+00  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   4.850000      # minimum value of y-mesh points
     ymax =   5.150000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           4.85000E+00  5.15000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.2500000      # minimum value of z-mesh points
     zmax =  0.2500000      # maximum value of z-mesh points
#    zdel =  0.5000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -2.50000E-01  2.50000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     x           # axis of output
     file = deposit-y-water-50x.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         128 (  0)           0 (  0)         128 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iy  =  1   iz  =  1
#   y = (   4.8500E+00  -   5.1500E+00  )
#   z = (  -2.5000E-01  -   2.5000E-01  )

x: x [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l n 
#  x-lower      x-upper        all       r.err 
  -1.5000E+01  -1.4750E+01   1.1582E-16  0.2299
  -1.4750E+01  -1.4500E+01   2.1663E-16  0.1866
  -1.4500E+01  -1.4250E+01   2.1924E-16  0.2052
  -1.4250E+01  -1.4000E+01   2.5012E-16  0.1721
  -1.4000E+01  -1.3750E+01   2.5877E-16  0.1795
  -1.3750E+01  -1.3500E+01   2.8657E-16  0.1743
  -1.3500E+01  -1.3250E+01   1.7481E-16  0.1468
  -1.3250E+01  -1.3000E+01   2.5271E-16  0.1579
  -1.3000E+01  -1.2750E+01   2.8320E-16  0.1379
  -1.2750E+01  -1.2500E+01   2.4665E-16  0.1473
  -1.2500E+01  -1.2250E+01   3.1411E-16  0.1468
  -1.2250E+01  -1.2000E+01   3.3689E-16  0.1470
  -1.2000E+01  -1.1750E+01   2.9331E-16  0.1398
  -1.1750E+01  -1.1500E+01   2.6788E-16  0.1082
  -1.1500E+01  -1.1250E+01   3.0676E-16  0.1703
  -1.1250E+01  -1.1000E+01   3.3195E-16  0.1406
  -1.1000E+01  -1.0750E+01   4.1706E-16  0.1560
  -1.0750E+01  -1.0500E+01   3.3994E-16  0.1200
  -1.0500E+01  -1.0250E+01   4.2381E-16  0.1214
  -1.0250E+01  -1.0000E+01   5.4742E-16  0.1272
  -1.0000E+01  -9.7500E+00   3.6200E-16  0.1203
  -9.7500E+00  -9.5000E+00   5.0248E-16  0.1199
  -9.5000E+00  -9.2500E+00   4.6619E-16  0.1070
  -9.2500E+00  -9.0000E+00   5.4827E-16  0.1014
  -9.0000E+00  -8.7500E+00   5.4204E-16  0.1010
  -8.7500E+00  -8.5000E+00   5.5362E-16  0.0946
  -8.5000E+00  -8.2500E+00   6.6022E-16  0.0924
  -8.2500E+00  -8.0000E+00   6.6534E-16  0.0953
  -8.0000E+00  -7.7500E+00   7.8796E-16  0.0947
  -7.7500E+00  -7.5000E+00   8.8149E-16  0.0932
  -7.5000E+00  -7.2500E+00   9.8038E-16  0.0896
  -7.2500E+00  -7.0000E+00   9.8549E-16  0.0893
  -7.0000E+00  -6.7500E+00   1.1774E-15  0.0772
  -6.7500E+00  -6.5000E+00   1.2804E-15  0.0855
  -6.5000E+00  -6.2500E+00   1.3098E-15  0.0783
  -6.2500E+00  -6.0000E+00   1.5996E-15  0.0754
  -6.0000E+00  -5.7500E+00   1.7952E-15  0.0720
  -5.7500E+00  -5.5000E+00   2.0487E-15  0.0635
  -5.5000E+00  -5.2500E+00   2.1418E-15  0.0690
  -5.2500E+00  -5.0000E+00   3.4354E-15  0.0630
  -5.0000E+00  -4.7500E+00   6.1755E-15  0.0475
  -4.7500E+00  -4.5000E+00   1.6713E-14  0.0314
  -4.5000E+00  -4.2500E+00   3.5184E-14  0.0217
  -4.2500E+00  -4.0000E+00   3.9199E-14  0.0208
  -4.0000E+00  -3.7500E+00   4.0602E-14  0.0202
  -3.7500E+00  -3.5000E+00   4.1506E-14  0.0200
  -3.5000E+00  -3.2500E+00   4.1873E-14  0.0199
  -3.2500E+00  -3.0000E+00   4.1781E-14  0.0202
  -3.0000E+00  -2.7500E+00   4.2867E-14  0.0196
  -2.7500E+00  -2.5000E+00   4.1746E-14  0.0198
  -2.5000E+00  -2.2500E+00   4.2491E-14  0.0197
  -2.2500E+00  -2.0000E+00   4.2416E-14  0.0198
  -2.0000E+00  -1.7500E+00   4.1077E-14  0.0199
  -1.7500E+00  -1.5000E+00   4.2576E-14  0.0196
  -1.5000E+00  -1.2500E+00   4.2015E-14  0.0197
  -1.2500E+00  -1.0000E+00   4.1449E-14  0.0198
  -1.0000E+00  -7.5000E-01   4.2434E-14  0.0198
  -7.5000E-01  -5.0000E-01   4.1186E-14  0.0197
  -5.0000E-01  -2.5000E-01   4.3030E-14  0.0196
  -2.5000E-01   0.0000E+00   4.0674E-14  0.0196
   0.0000E+00   2.5000E-01   4.2164E-14  0.0195
   2.5000E-01   5.0000E-01   4.2945E-14  0.0196
   5.0000E-01   7.5000E-01   4.3105E-14  0.0195
   7.5000E-01   1.0000E+00   4.2108E-14  0.0197
   1.0000E+00   1.2500E+00   4.2632E-14  0.0199
   1.2500E+00   1.5000E+00   4.2062E-14  0.0199
   1.5000E+00   1.7500E+00   4.3453E-14  0.0196
   1.7500E+00   2.0000E+00   4.1401E-14  0.0198
   2.0000E+00   2.2500E+00   4.1297E-14  0.0198
   2.2500E+00   2.5000E+00   4.1500E-14  0.0199
   2.5000E+00   2.7500E+00   4.2949E-14  0.0198
   2.7500E+00   3.0000E+00   4.1505E-14  0.0199
   3.0000E+00   3.2500E+00   4.1248E-14  0.0200
   3.2500E+00   3.5000E+00   4.1703E-14  0.0200
   3.5000E+00   3.7500E+00   4.0523E-14  0.0203
   3.7500E+00   4.0000E+00   4.0937E-14  0.0202
   4.0000E+00   4.2500E+00   4.1121E-14  0.0203
   4.2500E+00   4.5000E+00   3.5792E-14  0.0214
   4.5000E+00   4.7500E+00   1.6602E-14  0.0318
   4.7500E+00   5.0000E+00   6.0110E-15  0.0494
   5.0000E+00   5.2500E+00   3.3979E-15  0.0591
   5.2500E+00   5.5000E+00   2.4376E-15  0.0662
   5.5000E+00   5.7500E+00   1.7319E-15  0.0742
   5.7500E+00   6.0000E+00   1.7721E-15  0.0734
   6.0000E+00   6.2500E+00   1.5123E-15  0.0736
   6.2500E+00   6.5000E+00   1.3509E-15  0.0743
   6.5000E+00   6.7500E+00   1.1989E-15  0.0833
   6.7500E+00   7.0000E+00   1.1634E-15  0.0782
   7.0000E+00   7.2500E+00   1.0046E-15  0.0851
   7.2500E+00   7.5000E+00   9.8925E-16  0.0949
   7.5000E+00   7.7500E+00   7.9954E-16  0.0930
