[ T-Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   4.850000      # minimum value of y-mesh points
     ymax =   5.150000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           4.85000E+00  5.15000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -15.00000      # minimum value of z-mesh points
     zmax =   15.00000      # maximum value of z-mesh points
#    zdel =  0.2500000      # mesh width of z-mesh points
       nz =    120          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.50000E+01 -1.47500E+01 -1.45000E+01 -1.42500E+01 -1.40000E+01
#          -1.37500E+01 -1.35000E+01 -1.32500E+01 -1.30000E+01 -1.27500E+01
#          -1.25000E+01 -1.22500E+01 -1.20000E+01 -1.17500E+01 -1.15000E+01
#          -1.12500E+01 -1.10000E+01 -1.07500E+01 -1.05000E+01 -1.02500E+01
#          -1.00000E+01 -9.75000E+00 -9.50000E+00 -9.25000E+00 -9.00000E+00
#          -8.75000E+00 -8.50000E+00 -8.25000E+00 -8.00000E+00 -7.75000E+00
#          -7.50000E+00 -7.25000E+00 -7.00000E+00 -6.75000E+00 -6.50000E+00
#          -6.25000E+00 -6.00000E+00 -5.75000E+00 -5.50000E+00 -5.25000E+00
#          -5.00000E+00 -4.75000E+00 -4.50000E+00 -4.25000E+00 -4.00000E+00
#          -3.75000E+00 -3.50000E+00 -3.25000E+00 -3.00000E+00 -2.75000E+00
#          -2.50000E+00 -2.25000E+00 -2.00000E+00 -1.75000E+00 -1.50000E+00
#          -1.25000E+00 -1.00000E+00 -7.50000E-01 -5.00000E-01 -2.50000E-01
#           0.00000E+00  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-50z.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         128 (  0)           0 (  0)         128 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   4.8500E+00  -   5.1500E+00  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l n 
#  z-lower      z-upper        all       r.err 
  -1.5000E+01  -1.4750E+01   2.2785E-16  0.2427
  -1.4750E+01  -1.4500E+01   2.8436E-16  0.2226
  -1.4500E+01  -1.4250E+01   2.1554E-16  0.2002
  -1.4250E+01  -1.4000E+01   1.5214E-16  0.1709
  -1.4000E+01  -1.3750E+01   2.4512E-16  0.1661
  -1.3750E+01  -1.3500E+01   2.2002E-16  0.1531
  -1.3500E+01  -1.3250E+01   2.2828E-16  0.1670
  -1.3250E+01  -1.3000E+01   2.7831E-16  0.2000
  -1.3000E+01  -1.2750E+01   2.8594E-16  0.1652
  -1.2750E+01  -1.2500E+01   3.1754E-16  0.1534
  -1.2500E+01  -1.2250E+01   3.4353E-16  0.1691
  -1.2250E+01  -1.2000E+01   3.3928E-16  0.1446
  -1.2000E+01  -1.1750E+01   3.9815E-16  0.1521
  -1.1750E+01  -1.1500E+01   3.7048E-16  0.1330
  -1.1500E+01  -1.1250E+01   3.6905E-16  0.1323
  -1.1250E+01  -1.1000E+01   3.3141E-16  0.1168
  -1.1000E+01  -1.0750E+01   3.5427E-16  0.1342
  -1.0750E+01  -1.0500E+01   4.0506E-16  0.1618
  -1.0500E+01  -1.0250E+01   4.2006E-16  0.1157
  -1.0250E+01  -1.0000E+01   5.5232E-16  0.1285
  -1.0000E+01  -9.7500E+00   5.7860E-16  0.1190
  -9.7500E+00  -9.5000E+00   5.5482E-16  0.1155
  -9.5000E+00  -9.2500E+00   5.6337E-16  0.1058
  -9.2500E+00  -9.0000E+00   5.6481E-16  0.1114
  -9.0000E+00  -8.7500E+00   6.3699E-16  0.1151
  -8.7500E+00  -8.5000E+00   5.7288E-16  0.1047
  -8.5000E+00  -8.2500E+00   7.1224E-16  0.0889
  -8.2500E+00  -8.0000E+00   8.2637E-16  0.1001
  -8.0000E+00  -7.7500E+00   9.8829E-16  0.0992
  -7.7500E+00  -7.5000E+00   9.3638E-16  0.0852
  -7.5000E+00  -7.2500E+00   9.4836E-16  0.0823
  -7.2500E+00  -7.0000E+00   1.0235E-15  0.0848
  -7.0000E+00  -6.7500E+00   9.4563E-16  0.0808
  -6.7500E+00  -6.5000E+00   1.0058E-15  0.0819
  -6.5000E+00  -6.2500E+00   1.6136E-15  0.0829
  -6.2500E+00  -6.0000E+00   1.4429E-15  0.0780
  -6.0000E+00  -5.7500E+00   1.6223E-15  0.0741
  -5.7500E+00  -5.5000E+00   1.9583E-15  0.0694
  -5.5000E+00  -5.2500E+00   2.2339E-15  0.0650
  -5.2500E+00  -5.0000E+00   3.2157E-15  0.0615
  -5.0000E+00  -4.7500E+00   6.0346E-15  0.0493
  -4.7500E+00  -4.5000E+00   1.6335E-14  0.0319
  -4.5000E+00  -4.2500E+00   3.4889E-14  0.0216
  -4.2500E+00  -4.0000E+00   3.9015E-14  0.0204
  -4.0000E+00  -3.7500E+00   4.0288E-14  0.0202
  -3.7500E+00  -3.5000E+00   4.0882E-14  0.0202
  -3.5000E+00  -3.2500E+00   4.0902E-14  0.0202
  -3.2500E+00  -3.0000E+00   4.2689E-14  0.0198
  -3.0000E+00  -2.7500E+00   4.0570E-14  0.0200
  -2.7500E+00  -2.5000E+00   4.1187E-14  0.0199
  -2.5000E+00  -2.2500E+00   4.2107E-14  0.0197
  -2.2500E+00  -2.0000E+00   4.2541E-14  0.0197
  -2.0000E+00  -1.7500E+00   4.3172E-14  0.0197
  -1.7500E+00  -1.5000E+00   4.1476E-14  0.0197
  -1.5000E+00  -1.2500E+00   4.3540E-14  0.0198
  -1.2500E+00  -1.0000E+00   4.2681E-14  0.0198
  -1.0000E+00  -7.5000E-01   4.4279E-14  0.0193
  -7.5000E-01  -5.0000E-01   4.2520E-14  0.0196
  -5.0000E-01  -2.5000E-01   4.1308E-14  0.0199
  -2.5000E-01   0.0000E+00   4.1671E-14  0.0197
   0.0000E+00   2.5000E-01   4.1167E-14  0.0198
   2.5000E-01   5.0000E-01   4.2954E-14  0.0196
   5.0000E-01   7.5000E-01   4.2937E-14  0.0195
   7.5000E-01   1.0000E+00   4.2215E-14  0.0197
   1.0000E+00   1.2500E+00   4.1924E-14  0.0198
