[ T-Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -15.00000      # minimum value of x-mesh points
     xmax =   15.00000      # maximum value of x-mesh points
#    xdel =  0.2500000      # mesh width of x-mesh points
       nx =    120          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -1.50000E+01 -1.47500E+01 -1.45000E+01 -1.42500E+01 -1.40000E+01
#          -1.37500E+01 -1.35000E+01 -1.32500E+01 -1.30000E+01 -1.27500E+01
#          -1.25000E+01 -1.22500E+01 -1.20000E+01 -1.17500E+01 -1.15000E+01
#          -1.12500E+01 -1.10000E+01 -1.07500E+01 -1.05000E+01 -1.02500E+01
#          -1.00000E+01 -9.75000E+00 -9.50000E+00 -9.25000E+00 -9.00000E+00
#          -8.75000E+00 -8.50000E+00 -8.25000E+00 -8.00000E+00 -7.75000E+00
#          -7.50000E+00 -7.25000E+00 -7.00000E+00 -6.75000E+00 -6.50000E+00
#          -6.25000E+00 -6.00000E+00 -5.75000E+00 -5.50000E+00 -5.25000E+00
#          -5.00000E+00 -4.75000E+00 -4.50000E+00 -4.25000E+00 -4.00000E+00
#          -3.75000E+00 -3.50000E+00 -3.25000E+00 -3.00000E+00 -2.75000E+00
#          -2.50000E+00 -2.25000E+00 -2.00000E+00 -1.75000E+00 -1.50000E+00
#          -1.25000E+00 -1.00000E+00 -7.50000E-01 -5.00000E-01 -2.50000E-01
#           0.00000E+00  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   19.85000      # minimum value of y-mesh points
     ymax =   20.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.98500E+01  2.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.2500000      # minimum value of z-mesh points
     zmax =  0.2500000      # maximum value of z-mesh points
#    zdel =  0.5000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -2.50000E-01  2.50000E-01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     x           # axis of output
     file = deposit-y-water-200x.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         128 (  0)           0 (  0)         128 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iy  =  1   iz  =  1
#   y = (   1.9850E+01  -   2.0150E+01  )
#   z = (  -2.5000E-01  -   2.5000E-01  )

x: x [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l n 
#  x-lower      x-upper        all       r.err 
  -1.5000E+01  -1.4750E+01   3.5779E-16  0.1816
  -1.4750E+01  -1.4500E+01   2.8313E-16  0.1555
  -1.4500E+01  -1.4250E+01   2.6509E-16  0.1689
  -1.4250E+01  -1.4000E+01   3.6067E-16  0.1658
  -1.4000E+01  -1.3750E+01   3.3616E-16  0.1853
  -1.3750E+01  -1.3500E+01   3.5886E-16  0.1704
  -1.3500E+01  -1.3250E+01   2.8314E-16  0.1349
  -1.3250E+01  -1.3000E+01   3.6083E-16  0.1305
  -1.3000E+01  -1.2750E+01   3.1932E-16  0.1672
  -1.2750E+01  -1.2500E+01   4.3684E-16  0.1365
  -1.2500E+01  -1.2250E+01   5.0000E-16  0.1292
  -1.2250E+01  -1.2000E+01   4.5089E-16  0.1502
  -1.2000E+01  -1.1750E+01   4.5077E-16  0.1466
  -1.1750E+01  -1.1500E+01   5.6144E-16  0.1364
  -1.1500E+01  -1.1250E+01   5.4489E-16  0.1278
  -1.1250E+01  -1.1000E+01   6.4744E-16  0.1275
  -1.1000E+01  -1.0750E+01   5.9990E-16  0.1301
  -1.0750E+01  -1.0500E+01   5.9580E-16  0.1245
  -1.0500E+01  -1.0250E+01   5.7446E-16  0.1134
  -1.0250E+01  -1.0000E+01   6.0026E-16  0.1122
  -1.0000E+01  -9.7500E+00   7.7763E-16  0.1169
  -9.7500E+00  -9.5000E+00   8.2056E-16  0.1136
  -9.5000E+00  -9.2500E+00   8.6269E-16  0.1032
  -9.2500E+00  -9.0000E+00   8.8000E-16  0.1088
  -9.0000E+00  -8.7500E+00   1.0926E-15  0.0946
  -8.7500E+00  -8.5000E+00   1.0123E-15  0.1114
  -8.5000E+00  -8.2500E+00   9.9547E-16  0.1056
  -8.2500E+00  -8.0000E+00   1.3048E-15  0.0925
  -8.0000E+00  -7.7500E+00   1.2309E-15  0.0936
  -7.7500E+00  -7.5000E+00   1.3070E-15  0.0895
  -7.5000E+00  -7.2500E+00   1.6216E-15  0.0869
  -7.2500E+00  -7.0000E+00   1.7131E-15  0.0846
  -7.0000E+00  -6.7500E+00   1.8145E-15  0.0809
  -6.7500E+00  -6.5000E+00   1.9349E-15  0.0807
  -6.5000E+00  -6.2500E+00   1.8157E-15  0.0797
  -6.2500E+00  -6.0000E+00   2.0045E-15  0.0769
  -6.0000E+00  -5.7500E+00   2.5334E-15  0.0727
  -5.7500E+00  -5.5000E+00   4.2578E-15  0.0608
  -5.5000E+00  -5.2500E+00   7.1471E-15  0.0480
  -5.2500E+00  -5.0000E+00   1.3122E-14  0.0355
  -5.0000E+00  -4.7500E+00   1.5710E-14  0.0330
  -4.7500E+00  -4.5000E+00   1.6087E-14  0.0324
  -4.5000E+00  -4.2500E+00   1.6143E-14  0.0321
  -4.2500E+00  -4.0000E+00   1.6831E-14  0.0316
  -4.0000E+00  -3.7500E+00   1.7418E-14  0.0311
  -3.7500E+00  -3.5000E+00   1.7137E-14  0.0316
  -3.5000E+00  -3.2500E+00   1.6609E-14  0.0321
  -3.2500E+00  -3.0000E+00   1.7240E-14  0.0315
  -3.0000E+00  -2.7500E+00   1.6593E-14  0.0317
  -2.7500E+00  -2.5000E+00   1.8097E-14  0.0304
  -2.5000E+00  -2.2500E+00   1.7959E-14  0.0309
  -2.2500E+00  -2.0000E+00   1.7601E-14  0.0311
  -2.0000E+00  -1.7500E+00   1.7195E-14  0.0315
  -1.7500E+00  -1.5000E+00   1.7670E-14  0.0308
  -1.5000E+00  -1.2500E+00   1.7199E-14  0.0309
  -1.2500E+00  -1.0000E+00   1.7796E-14  0.0311
  -1.0000E+00  -7.5000E-01   1.7064E-14  0.0313
  -7.5000E-01  -5.0000E-01   1.7874E-14  0.0308
  -5.0000E-01  -2.5000E-01   1.7975E-14  0.0302
  -2.5000E-01   0.0000E+00   1.8210E-14  0.0314
   0.0000E+00   2.5000E-01   1.7818E-14  0.0309
   2.5000E-01   5.0000E-01   1.8087E-14  0.0303
   5.0000E-01   7.5000E-01   1.8140E-14  0.0309
   7.5000E-01   1.0000E+00   1.7763E-14  0.0309
   1.0000E+00   1.2500E+00   1.7868E-14  0.0310
