[ T-Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   9.850000      # minimum value of y-mesh points
     ymax =   10.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           9.85000E+00  1.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -15.00000      # minimum value of z-mesh points
     zmax =   15.00000      # maximum value of z-mesh points
#    zdel =  0.2500000      # mesh width of z-mesh points
       nz =    120          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.50000E+01 -1.47500E+01 -1.45000E+01 -1.42500E+01 -1.40000E+01
#          -1.37500E+01 -1.35000E+01 -1.32500E+01 -1.30000E+01 -1.27500E+01
#          -1.25000E+01 -1.22500E+01 -1.20000E+01 -1.17500E+01 -1.15000E+01
#          -1.12500E+01 -1.10000E+01 -1.07500E+01 -1.05000E+01 -1.02500E+01
#          -1.00000E+01 -9.75000E+00 -9.50000E+00 -9.25000E+00 -9.00000E+00
#          -8.75000E+00 -8.50000E+00 -8.25000E+00 -8.00000E+00 -7.75000E+00
#          -7.50000E+00 -7.25000E+00 -7.00000E+00 -6.75000E+00 -6.50000E+00
#          -6.25000E+00 -6.00000E+00 -5.75000E+00 -5.50000E+00 -5.25000E+00
#          -5.00000E+00 -4.75000E+00 -4.50000E+00 -4.25000E+00 -4.00000E+00
#          -3.75000E+00 -3.50000E+00 -3.25000E+00 -3.00000E+00 -2.75000E+00
#          -2.50000E+00 -2.25000E+00 -2.00000E+00 -1.75000E+00 -1.50000E+00
#          -1.25000E+00 -1.00000E+00 -7.50000E-01 -5.00000E-01 -2.50000E-01
#           0.00000E+00  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-100z.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         128 (  0)           0 (  0)         128 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   9.8500E+00  -   1.0150E+01  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(all     ),hh0l n 
#  z-lower      z-upper        all       r.err 
  -1.5000E+01  -1.4750E+01   2.5859E-16  0.1663
  -1.4750E+01  -1.4500E+01   2.6720E-16  0.1495
  -1.4500E+01  -1.4250E+01   2.0714E-16  0.1576
  -1.4250E+01  -1.4000E+01   2.8822E-16  0.1571
  -1.4000E+01  -1.3750E+01   3.1312E-16  0.1369
  -1.3750E+01  -1.3500E+01   2.4672E-16  0.1338
  -1.3500E+01  -1.3250E+01   2.3268E-16  0.1372
  -1.3250E+01  -1.3000E+01   4.0952E-16  0.1537
  -1.3000E+01  -1.2750E+01   3.4692E-16  0.1393
  -1.2750E+01  -1.2500E+01   3.3585E-16  0.1321
  -1.2500E+01  -1.2250E+01   3.4301E-16  0.1262
  -1.2250E+01  -1.2000E+01   3.9189E-16  0.1294
  -1.2000E+01  -1.1750E+01   4.2448E-16  0.1212
  -1.1750E+01  -1.1500E+01   4.4244E-16  0.1517
  -1.1500E+01  -1.1250E+01   4.3507E-16  0.1191
  -1.1250E+01  -1.1000E+01   5.3932E-16  0.1243
  -1.1000E+01  -1.0750E+01   4.6516E-16  0.1166
  -1.0750E+01  -1.0500E+01   4.8460E-16  0.1381
  -1.0500E+01  -1.0250E+01   4.3596E-16  0.1117
  -1.0250E+01  -1.0000E+01   6.0586E-16  0.1101
  -1.0000E+01  -9.7500E+00   7.8023E-16  0.1131
  -9.7500E+00  -9.5000E+00   6.4779E-16  0.0993
  -9.5000E+00  -9.2500E+00   7.7652E-16  0.1059
  -9.2500E+00  -9.0000E+00   6.7142E-16  0.0989
  -9.0000E+00  -8.7500E+00   8.5195E-16  0.0960
  -8.7500E+00  -8.5000E+00   8.5284E-16  0.0897
  -8.5000E+00  -8.2500E+00   9.2659E-16  0.0907
  -8.2500E+00  -8.0000E+00   9.0980E-16  0.0933
  -8.0000E+00  -7.7500E+00   1.2566E-15  0.0858
  -7.7500E+00  -7.5000E+00   1.3671E-15  0.0807
  -7.5000E+00  -7.2500E+00   1.4390E-15  0.0827
  -7.2500E+00  -7.0000E+00   1.3754E-15  0.0811
  -7.0000E+00  -6.7500E+00   1.6555E-15  0.0764
  -6.7500E+00  -6.5000E+00   1.6916E-15  0.0732
  -6.5000E+00  -6.2500E+00   1.8853E-15  0.0713
  -6.2500E+00  -6.0000E+00   2.0693E-15  0.0726
  -6.0000E+00  -5.7500E+00   2.6894E-15  0.0660
  -5.7500E+00  -5.5000E+00   2.9362E-15  0.0619
  -5.5000E+00  -5.2500E+00   4.0842E-15  0.0566
  -5.2500E+00  -5.0000E+00   5.9129E-15  0.0496
  -5.0000E+00  -4.7500E+00   1.2881E-14  0.0353
  -4.7500E+00  -4.5000E+00   2.5330E-14  0.0252
  -4.5000E+00  -4.2500E+00   3.0333E-14  0.0235
  -4.2500E+00  -4.0000E+00   2.9584E-14  0.0236
  -4.0000E+00  -3.7500E+00   3.1022E-14  0.0235
  -3.7500E+00  -3.5000E+00   3.0223E-14  0.0233
  -3.5000E+00  -3.2500E+00   3.2408E-14  0.0229
  -3.2500E+00  -3.0000E+00   3.0402E-14  0.0234
  -3.0000E+00  -2.7500E+00   3.2473E-14  0.0228
  -2.7500E+00  -2.5000E+00   3.2420E-14  0.0225
  -2.5000E+00  -2.2500E+00   3.2276E-14  0.0226
  -2.2500E+00  -2.0000E+00   3.1602E-14  0.0227
  -2.0000E+00  -1.7500E+00   3.2803E-14  0.0226
  -1.7500E+00  -1.5000E+00   3.4120E-14  0.0223
  -1.5000E+00  -1.2500E+00   3.2365E-14  0.0225
  -1.2500E+00  -1.0000E+00   3.2233E-14  0.0227
  -1.0000E+00  -7.5000E-01   3.3127E-14  0.0227
  -7.5000E-01  -5.0000E-01   3.1554E-14  0.0230
  -5.0000E-01  -2.5000E-01   3.0981E-14  0.0227
  -2.5000E-01   0.0000E+00   3.1993E-14  0.0229
   0.0000E+00   2.5000E-01   3.2480E-14  0.0226
   2.5000E-01   5.0000E-01   3.2804E-14  0.0226
   5.0000E-01   7.5000E-01   3.2878E-14  0.0226
   7.5000E-01   1.0000E+00   3.2487E-14  0.0226
   1.0000E+00   1.2500E+00   3.2082E-14  0.0231
