[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   19.85000      # minimum value of y-mesh points
     ymax =   20.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.98500E+01  2.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =     80          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-200.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   1.9850E+01  -   2.0150E+01  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   4.5375E-15  0.0239
  -4.8750E+00  -4.7500E+00   4.9197E-15  0.0270
  -4.7500E+00  -4.6250E+00   5.1514E-15  0.0263
  -4.6250E+00  -4.5000E+00   5.8305E-15  0.0228
  -4.5000E+00  -4.3750E+00   6.9191E-15  0.0239
  -4.3750E+00  -4.2500E+00   8.8201E-15  0.0202
  -4.2500E+00  -4.1250E+00   1.1599E-14  0.0169
  -4.1250E+00  -4.0000E+00   2.0309E-14  0.0155
  -4.0000E+00  -3.8750E+00   3.9328E-14  0.0088
  -3.8750E+00  -3.7500E+00   4.5968E-14  0.0094
  -3.7500E+00  -3.6250E+00   4.8420E-14  0.0086
  -3.6250E+00  -3.5000E+00   4.9399E-14  0.0096
  -3.5000E+00  -3.3750E+00   5.0105E-14  0.0087
  -3.3750E+00  -3.2500E+00   5.2275E-14  0.0093
  -3.2500E+00  -3.1250E+00   5.2405E-14  0.0088
  -3.1250E+00  -3.0000E+00   5.3534E-14  0.0096
  -3.0000E+00  -2.8750E+00   5.3863E-14  0.0078
  -2.8750E+00  -2.7500E+00   5.4077E-14  0.0099
  -2.7500E+00  -2.6250E+00   5.4469E-14  0.0083
  -2.6250E+00  -2.5000E+00   5.5364E-14  0.0084
  -2.5000E+00  -2.3750E+00   5.5231E-14  0.0090
  -2.3750E+00  -2.2500E+00   5.5568E-14  0.0100
  -2.2500E+00  -2.1250E+00   5.6447E-14  0.0095
  -2.1250E+00  -2.0000E+00   5.5893E-14  0.0095
  -2.0000E+00  -1.8750E+00   5.5118E-14  0.0088
  -1.8750E+00  -1.7500E+00   5.6538E-14  0.0087
  -1.7500E+00  -1.6250E+00   5.6538E-14  0.0077
  -1.6250E+00  -1.5000E+00   5.5882E-14  0.0092
  -1.5000E+00  -1.3750E+00   5.6248E-14  0.0093
  -1.3750E+00  -1.2500E+00   5.6770E-14  0.0087
  -1.2500E+00  -1.1250E+00   5.7388E-14  0.0081
  -1.1250E+00  -1.0000E+00   5.8109E-14  0.0080
  -1.0000E+00  -8.7500E-01   5.7652E-14  0.0092
  -8.7500E-01  -7.5000E-01   5.7493E-14  0.0082
  -7.5000E-01  -6.2500E-01   5.8915E-14  0.0101
  -6.2500E-01  -5.0000E-01   5.8920E-14  0.0081
  -5.0000E-01  -3.7500E-01   5.8636E-14  0.0094
  -3.7500E-01  -2.5000E-01   5.8204E-14  0.0085
  -2.5000E-01  -1.2500E-01   5.8514E-14  0.0080
  -1.2500E-01   0.0000E+00   5.8502E-14  0.0081
   0.0000E+00   1.2500E-01   5.8674E-14  0.0089
   1.2500E-01   2.5000E-01   5.8486E-14  0.0094
   2.5000E-01   3.7500E-01   5.9265E-14  0.0088
   3.7500E-01   5.0000E-01   5.8888E-14  0.0088
   5.0000E-01   6.2500E-01   5.8654E-14  0.0088
   6.2500E-01   7.5000E-01   5.8959E-14  0.0094
   7.5000E-01   8.7500E-01   5.8883E-14  0.0078
   8.7500E-01   1.0000E+00   5.8050E-14  0.0091
   1.0000E+00   1.1250E+00   5.7406E-14  0.0085
   1.1250E+00   1.2500E+00   5.7566E-14  0.0081
   1.2500E+00   1.3750E+00   5.6721E-14  0.0083
   1.3750E+00   1.5000E+00   5.5622E-14  0.0077
   1.5000E+00   1.6250E+00   5.6600E-14  0.0083
