[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   4.850000      # minimum value of y-mesh points
     ymax =   5.150000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           4.85000E+00  5.15000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =     80          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-y-water-50.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   4.8500E+00  -   5.1500E+00  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   3.1438E-15  0.0235
  -4.8750E+00  -4.7500E+00   3.2737E-15  0.0249
  -4.7500E+00  -4.6250E+00   3.5806E-15  0.0242
  -4.6250E+00  -4.5000E+00   3.6354E-15  0.0229
  -4.5000E+00  -4.3750E+00   4.3576E-15  0.0225
  -4.3750E+00  -4.2500E+00   4.7933E-15  0.0250
  -4.2500E+00  -4.1250E+00   5.7873E-15  0.0241
  -4.1250E+00  -4.0000E+00   6.8892E-15  0.0200
  -4.0000E+00  -3.8750E+00   8.5056E-15  0.0179
  -3.8750E+00  -3.7500E+00   1.0451E-14  0.0162
  -3.7500E+00  -3.6250E+00   1.4854E-14  0.0137
  -3.6250E+00  -3.5000E+00   2.3525E-14  0.0120
  -3.5000E+00  -3.3750E+00   5.6292E-14  0.0096
  -3.3750E+00  -3.2500E+00   1.1083E-13  0.0058
  -3.2500E+00  -3.1250E+00   1.2389E-13  0.0060
  -3.1250E+00  -3.0000E+00   1.3325E-13  0.0049
  -3.0000E+00  -2.8750E+00   1.3469E-13  0.0059
  -2.8750E+00  -2.7500E+00   1.3741E-13  0.0057
  -2.7500E+00  -2.6250E+00   1.4056E-13  0.0054
  -2.6250E+00  -2.5000E+00   1.4109E-13  0.0051
  -2.5000E+00  -2.3750E+00   1.4293E-13  0.0056
  -2.3750E+00  -2.2500E+00   1.4343E-13  0.0051
  -2.2500E+00  -2.1250E+00   1.4444E-13  0.0059
  -2.1250E+00  -2.0000E+00   1.4562E-13  0.0054
  -2.0000E+00  -1.8750E+00   1.4515E-13  0.0048
  -1.8750E+00  -1.7500E+00   1.4585E-13  0.0050
  -1.7500E+00  -1.6250E+00   1.4644E-13  0.0051
  -1.6250E+00  -1.5000E+00   1.4576E-13  0.0053
  -1.5000E+00  -1.3750E+00   1.4574E-13  0.0055
  -1.3750E+00  -1.2500E+00   1.4812E-13  0.0053
  -1.2500E+00  -1.1250E+00   1.4799E-13  0.0046
  -1.1250E+00  -1.0000E+00   1.5154E-13  0.0054
  -1.0000E+00  -8.7500E-01   1.5162E-13  0.0050
  -8.7500E-01  -7.5000E-01   1.5194E-13  0.0048
  -7.5000E-01  -6.2500E-01   1.5273E-13  0.0056
  -6.2500E-01  -5.0000E-01   1.5309E-13  0.0051
  -5.0000E-01  -3.7500E-01   1.5242E-13  0.0061
  -3.7500E-01  -2.5000E-01   1.5436E-13  0.0055
  -2.5000E-01  -1.2500E-01   1.5436E-13  0.0046
  -1.2500E-01   0.0000E+00   1.5392E-13  0.0053
   0.0000E+00   1.2500E-01   1.5397E-13  0.0052
   1.2500E-01   2.5000E-01   1.5424E-13  0.0052
   2.5000E-01   3.7500E-01   1.5398E-13  0.0049
   3.7500E-01   5.0000E-01   1.5242E-13  0.0044
   5.0000E-01   6.2500E-01   1.5209E-13  0.0052
   6.2500E-01   7.5000E-01   1.5169E-13  0.0056
   7.5000E-01   8.7500E-01   1.5271E-13  0.0055
   8.7500E-01   1.0000E+00   1.5089E-13  0.0046
   1.0000E+00   1.1250E+00   1.5155E-13  0.0049
   1.1250E+00   1.2500E+00   1.4717E-13  0.0056
   1.2500E+00   1.3750E+00   1.4763E-13  0.0055
   1.3750E+00   1.5000E+00   1.4746E-13  0.0056
   1.5000E+00   1.6250E+00   1.4709E-13  0.0054
