[ T - Deposit ]
    title = [t-deposit: icntl=0]
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.2500000      # minimum value of x-mesh points
     xmax =  0.2500000      # maximum value of x-mesh points
#    xdel =  0.5000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -2.50000E-01  2.50000E-01
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =   19.85000      # minimum value of y-mesh points
     ymax =   20.15000      # maximum value of y-mesh points
#    ydel =  0.3000000      # mesh width of y-mesh points
       ny =    1            # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#           1.98500E+01  2.01500E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -5.000000      # minimum value of z-mesh points
     zmax =   5.000000      # maximum value of z-mesh points
#    zdel =  0.1250000      # mesh width of z-mesh points
       nz =   80            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -5.00000E+00 -4.87500E+00 -4.75000E+00 -4.62500E+00 -4.50000E+00
#          -4.37500E+00 -4.25000E+00 -4.12500E+00 -4.00000E+00 -3.87500E+00
#          -3.75000E+00 -3.62500E+00 -3.50000E+00 -3.37500E+00 -3.25000E+00
#          -3.12500E+00 -3.00000E+00 -2.87500E+00 -2.75000E+00 -2.62500E+00
#          -2.50000E+00 -2.37500E+00 -2.25000E+00 -2.12500E+00 -2.00000E+00
#          -1.87500E+00 -1.75000E+00 -1.62500E+00 -1.50000E+00 -1.37500E+00
#          -1.25000E+00 -1.12500E+00 -1.00000E+00 -8.75000E-01 -7.50000E-01
#          -6.25000E-01 -5.00000E-01 -3.75000E-01 -2.50000E-01 -1.25000E-01
#           0.00000E+00  1.25000E-01  2.50000E-01  3.75000E-01  5.00000E-01
#           6.25000E-01  7.50000E-01  8.75000E-01  1.00000E+00  1.12500E+00
#           1.25000E+00  1.37500E+00  1.50000E+00  1.62500E+00  1.75000E+00
#           1.87500E+00  2.00000E+00  2.12500E+00  2.25000E+00  2.37500E+00
#           2.50000E+00  2.62500E+00  2.75000E+00  2.87500E+00  3.00000E+00
#           3.12500E+00  3.25000E+00  3.37500E+00  3.50000E+00  3.62500E+00
#           3.75000E+00  3.87500E+00  4.00000E+00  4.12500E+00  4.25000E+00
#           4.37500E+00  4.50000E+00  4.62500E+00  4.75000E+00  4.87500E+00
#           5.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit-z-water-200.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -2.5000E-01  -   2.5000E-01  )
#   y = (   1.9850E+01  -   2.0150E+01  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  z-lower      z-upper      all         r.err 
  -5.0000E+00  -4.8750E+00   4.9478E-16  0.0698
  -4.8750E+00  -4.7500E+00   5.3771E-16  0.0636
  -4.7500E+00  -4.6250E+00   5.5291E-16  0.0514
  -4.6250E+00  -4.5000E+00   5.3127E-16  0.0637
  -4.5000E+00  -4.3750E+00   5.5464E-16  0.0656
  -4.3750E+00  -4.2500E+00   6.3779E-16  0.0650
  -4.2500E+00  -4.1250E+00   6.4064E-16  0.0583
  -4.1250E+00  -4.0000E+00   6.9048E-16  0.0574
  -4.0000E+00  -3.8750E+00   7.0734E-16  0.0501
  -3.8750E+00  -3.7500E+00   6.8740E-16  0.0594
  -3.7500E+00  -3.6250E+00   7.9455E-16  0.0555
  -3.6250E+00  -3.5000E+00   8.1374E-16  0.0424
  -3.5000E+00  -3.3750E+00   8.7887E-16  0.0407
  -3.3750E+00  -3.2500E+00   9.3216E-16  0.0474
  -3.2500E+00  -3.1250E+00   9.4766E-16  0.0496
  -3.1250E+00  -3.0000E+00   9.7640E-16  0.0576
  -3.0000E+00  -2.8750E+00   1.0514E-15  0.0424
  -2.8750E+00  -2.7500E+00   1.1250E-15  0.0478
  -2.7500E+00  -2.6250E+00   1.3136E-15  0.0387
  -2.6250E+00  -2.5000E+00   1.3851E-15  0.0384
  -2.5000E+00  -2.3750E+00   1.5890E-15  0.0429
  -2.3750E+00  -2.2500E+00   1.8075E-15  0.0466
  -2.2500E+00  -2.1250E+00   2.2602E-15  0.0337
  -2.1250E+00  -2.0000E+00   2.9151E-15  0.0292
  -2.0000E+00  -1.8750E+00   4.1150E-15  0.0256
  -1.8750E+00  -1.7500E+00   6.5237E-15  0.0180
  -1.7500E+00  -1.6250E+00   1.2204E-14  0.0168
  -1.6250E+00  -1.5000E+00   1.9419E-14  0.0125
  -1.5000E+00  -1.3750E+00   2.7570E-14  0.0131
  -1.3750E+00  -1.2500E+00   3.4536E-14  0.0101
  -1.2500E+00  -1.1250E+00   3.9576E-14  0.0073
  -1.1250E+00  -1.0000E+00   4.2466E-14  0.0079
  -1.0000E+00  -8.7500E-01   4.3927E-14  0.0093
  -8.7500E-01  -7.5000E-01   4.3948E-14  0.0073
  -7.5000E-01  -6.2500E-01   4.4500E-14  0.0071
  -6.2500E-01  -5.0000E-01   4.4959E-14  0.0081
  -5.0000E-01  -3.7500E-01   4.4094E-14  0.0085
  -3.7500E-01  -2.5000E-01   4.4335E-14  0.0072
  -2.5000E-01  -1.2500E-01   4.5163E-14  0.0091
  -1.2500E-01   0.0000E+00   4.4464E-14  0.0090
   0.0000E+00   1.2500E-01   4.5006E-14  0.0078
   1.2500E-01   2.5000E-01   4.5222E-14  0.0107
   2.5000E-01   3.7500E-01   4.5160E-14  0.0108
   3.7500E-01   5.0000E-01   4.4942E-14  0.0067
   5.0000E-01   6.2500E-01   4.4161E-14  0.0112
   6.2500E-01   7.5000E-01   4.4101E-14  0.0090
   7.5000E-01   8.7500E-01   4.3339E-14  0.0116
   8.7500E-01   1.0000E+00   4.2686E-14  0.0102
   1.0000E+00   1.1250E+00   4.1428E-14  0.0094
   1.1250E+00   1.2500E+00   3.9989E-14  0.0091
   1.2500E+00   1.3750E+00   3.4204E-14  0.0085
   1.3750E+00   1.5000E+00   2.7429E-14  0.0088
   1.5000E+00   1.6250E+00   1.9909E-14  0.0124
